symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid
A,2022.02.20,9:42:06,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:06,38.38,38.41,1,1,12,'T',null
A,2022.02.20,9:42:06,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:06,38.37,38.41,1,3,12,'P',null
A,2022.02.20,9:42:06,38.39,38.41,3,1,12,'N',null
A,2022.02.20,9:42:06,38.38,38.41,1,1,12,'T',null
A,2022.02.20,9:42:06,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:06,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:06,38.38,38.41,1,3,12,'P',null
A,2022.02.20,9:42:06,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:06,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:06,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:06,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:06,38.37,38.41,1,3,12,'P',null
A,2022.02.20,9:42:06,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:06,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:06,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:06,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:07,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:07,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:07,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:07,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:07,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:07,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:07,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:07,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:08,38.37,38.42,1,3,12,'P',null
A,2022.02.20,9:42:08,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:08,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.38,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.38,38.42,1,3,12,'P',null
A,2022.02.20,9:42:08,38.38,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.37,38.42,1,3,12,'P',null
A,2022.02.20,9:42:08,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.38,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.38,38.42,1,3,12,'P',null
A,2022.02.20,9:42:08,38.38,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:08,38.37,38.42,1,3,12,'P',null
A,2022.02.20,9:42:08,38.38,38.42,1,3,12,'P',null
A,2022.02.20,9:42:08,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:08,38.38,38.41,1,3,12,'P',null
A,2022.02.20,9:42:08,38.39,38.41,3,1,12,'N',null
A,2022.02.20,9:42:08,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:08,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:08,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:08,38.37,38.41,1,3,12,'P',null
A,2022.02.20,9:42:09,38.38,38.41,1,4,12,'T',null
A,2022.02.20,9:42:09,38.4,38.41,1,4,12,'T',null
