symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid,ts
A,2022.02.20,09:40:58,38.39,38.439999999999997,1,1,12,'P',null,2022.02.20T14:40:58
A,2022.02.20,09:40:59,38.399999999999998,38.420000000000001,2,1,12,'T',null,2022.02.20T14:40:59
A,2022.02.20,09:41:00,38.399999999999998,38.429999999999999,22,1,12,'N',null,2022.02.20T14:41:00
A,2022.02.20,09:41:01,38.399999999999998,38.429999999999999,22,2,12,'N',null,2022.02.20T14:41:01
A,2022.02.20,09:41:05,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:05
A,2022.02.20,09:41:05,38.399999999999998,38.420000000000001,2,1,12,'T',null,2022.02.20T14:41:05
A,2022.02.20,09:41:05,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:05
A,2022.02.20,09:41:05,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:05
A,2022.02.20,09:41:06,38.399999999999998,38.420000000000001,2,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.399999999999998,38.420000000000001,2,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.399999999999998,38.429999999999999,12,2,12,'N',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.399999999999998,38.420000000000001,2,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:06,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:06
A,2022.02.20,09:41:07,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.409999999999996,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.399999999999998,38.429999999999999,12,1,12,'N',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.399999999999998,38.420000000000001,12,1,12,'N',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.399999999999998,38.420000000000001,12,1,12,'N',null,2022.02.20T14:41:07
A,2022.02.20,09:41:07,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:07
A,2022.02.20,09:41:08,38.399999999999998,38.420000000000001,13,1,12,'N',null,2022.02.20T14:41:08
A,2022.02.20,09:41:08,38.399999999999998,38.420000000000001,10,1,12,'N',null,2022.02.20T14:41:08
A,2022.02.20,09:41:08,38.39,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:08
A,2022.02.20,09:41:08,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:08
A,2022.02.20,09:41:08,38.399999999999998,38.409999999999996,10,1,12,'N',null,2022.02.20T14:41:08
A,2022.02.20,09:41:09,38.399999999999998,38.409999999999996,21,1,12,'N',null,2022.02.20T14:41:09
A,2022.02.20,09:41:09,38.39,38.450000000000002,1,1,12,'P',null,2022.02.20T14:41:09
A,2022.02.20,09:41:11,38.399999999999998,38.409999999999996,18,1,12,'N',null,2022.02.20T14:41:11
A,2022.02.20,09:41:15,38.399999999999998,38.409999999999996,19,1,12,'N',null,2022.02.20T14:41:15
A,2022.02.20,09:41:18,38.39,38.439999999999997,1,1,12,'P',null,2022.02.20T14:41:18
A,2022.02.20,09:41:18,38.399999999999998,38.420000000000001,19,2,12,'N',null,2022.02.20T14:41:18
A,2022.02.20,09:41:18,38.399999999999998,38.420000000000001,1,3,12,'T',null,2022.02.20T14:41:18
A,2022.02.20,09:41:18,38.399999999999998,38.420000000000001,17,2,12,'N',null,2022.02.20T14:41:18
A,2022.02.20,09:41:19,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:19
A,2022.02.20,09:41:19,38.399999999999998,38.420000000000001,17,1,12,'N',null,2022.02.20T14:41:19
A,2022.02.20,09:41:19,38.399999999999998,38.420000000000001,2,1,12,'T',null,2022.02.20T14:41:19
A,2022.02.20,09:41:22,38.399999999999998,38.420000000000001,18,1,12,'N',null,2022.02.20T14:41:22
A,2022.02.20,09:41:24,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:24
A,2022.02.20,09:41:24,38.409999999999996,38.429999999999999,3,11,12,'N',null,2022.02.20T14:41:24
A,2022.02.20,09:41:24,38.39,38.439999999999997,1,1,12,'I',null,2022.02.20T14:41:24
